user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement,label,obvious_anomaly_flag,true_label,predicted_label,anomaly_score,risk_level,risk_reason
5,0,0,4,3,9,7,2.07,154,2,1,0,480,2,5,121.06,2024-05-09,0,0,0,0,0,0.19979711371995015,Low,
374,1,0,6,6,5,6,0.17,10,2,3,0,0,2,4,508.39,2024-12-02,0,0,1,0,1,0.0635791008073992,Low,
277,1112,1,6,12,0,11,0.0,41,1,2,1,60,2,2,8.7,2024-11-11,111,0,0,0,0,0.06150065253020071,Low,
191,2223,0,9,6,4,8,0.86,70,0,1,0,60,2,5,294.68,2024-09-23,0,0,0,0,0,0.07611858880790225,Low,
9,3334,1,3,10,0,12,0.0,14,0,0,1,480,1,1,1649.47,2024-09-17,31,0,0,0,0,0.06445425595702695,Low,
469,4445,1,10,11,0,18,0.0,123,0,0,0,-330,2,1,899.59,2024-04-25,300,0,0,0,0,0.05579191631488316,Low,
99,4556,1,11,17,0,19,0.0,10,2,1,1,0,2,2,1242.24,2024-04-30,29,0,1,0,1,0.10099072481285204,Low,
113,4667,0,3,3,11,4,1.05,16,4,3,2,60,0,4,126.6,2024-06-10,0,0,0,0,0,0.06057635755473203,Low,
5,4778,0,7,4,4,2,1.0,78,2,1,1,330,1,2,835.81,2024-03-21,0,0,0,0,0,0.09237712572427899,Low,
26,4889,0,4,10,10,5,1.74,112,4,2,0,0,0,1,325.07,2024-09-03,0,0,0,0,0,0.26409718667948207,Low,
408,2,1,11,14,0,12,0.0,223,3,3,1,330,2,2,1750.31,2025-01-12,583,1,0,1,0,0.28608165921800877,Low,
129,113,0,5,1,9,3,0.67,110,2,1,2,480,1,5,817.43,2025-06-14,0,0,0,0,0,0.12381828771764702,Low,
258,224,1,9,11,0,14,0.0,100,2,2,0,60,1,3,1617.39,2025-02-26,266,0,0,0,0,0.06702203149565283,Low,
399,335,0,5,7,12,6,0.96,45,2,0,2,-330,1,5,194.93,2024-11-01,0,0,0,0,0,0.10610139477897106,Low,
486,446,0,5,8,6,6,1.27,10,0,1,2,60,2,0,182.57,2024-08-19,0,0,1,0,1,0.07415527495239922,Low,
304,557,1,8,17,0,14,0.0,11,0,0,0,330,2,3,1323.36,2024-04-11,26,0,0,0,0,0.12518501688657405,Low,
499,668,0,7,6,5,4,1.68,68,4,1,0,0,1,4,3334.03,2025-05-13,0,0,0,0,0,0.12243440017518901,Low,
289,779,0,8,2,7,6,0.8,101,4,0,0,480,2,0,2053.44,2025-04-25,0,0,0,0,0,0.07912861874439453,Low,
59,890,1,6,12,0,21,0.0,48,2,0,2,-330,2,1,2449.87,2024-09-26,125,0,0,0,0,0.11187589379353864,Low,
36,1001,0,2,6,7,8,1.49,118,4,0,0,330,0,5,333.71,2024-11-19,0,0,0,0,0,0.10850590979992428,Low,
56,1113,1,7,8,0,12,0.0,66,0,1,1,-330,0,2,1066.67,2025-05-22,171,0,0,0,0,0.0696891472616608,Low,
233,1224,0,3,11,10,6,2.01,10,4,0,1,0,1,2,3237.49,2024-07-27,0,0,1,0,1,0.12591138960970905,Low,
176,1335,0,9,7,5,2,1.94,19,3,0,1,480,1,2,4133.44,2024-02-18,0,0,0,0,0,0.07839821025298652,Low,
272,1446,0,4,6,7,7,1.24,164,0,3,1,480,2,2,88.09,2025-04-05,0,0,0,0,0,0.0673321776186575,Low,
436,1557,0,1,5,7,4,0.83,116,3,0,0,480,1,1,260.6,2025-06-01,0,0,0,0,0,0.0931292800450264,Low,
350,1668,0,6,0,4,5,1.03,202,4,2,1,60,0,2,163.45,2024-09-01,0,0,0,0,0,0.08189036370631284,Low,
216,1779,1,10,11,0,15,0.0,11,1,2,2,330,1,4,278.53,2024-08-13,18,0,0,0,0,0.05747081015043924,Low,
318,1890,0,1,9,7,9,1.13,416,2,3,2,-330,2,3,256.8,2024-05-23,0,0,0,0,0,0.09449838656254159,Low,
103,2001,1,5,10,0,21,0.0,21,0,2,2,0,0,2,965.32,2024-10-22,77,0,0,0,0,0.06721213020224975,Low,
383,2112,1,5,11,0,22,0.0,10,3,3,0,60,0,4,611.04,2024-06-17,28,0,1,0,1,0.1533508577246816,Low,
197,2224,1,9,8,0,15,0.0,536,1,2,2,330,1,0,125.94,2024-04-08,1319,0,0,0,0,0.07911728736641409,Low,
69,2335,1,5,10,0,11,0.0,29,1,1,1,480,1,4,584.0,2024-07-07,71,0,0,0,0,0.0657641219341717,Low,
400,2446,0,5,7,8,7,0.66,99,0,1,2,-330,2,0,3463.85,2024-10-03,0,0,0,0,0,0.056808252771159265,Low,
239,2557,1,10,12,0,14,0.0,17,0,0,0,480,2,0,931.53,2024-08-06,39,0,0,0,0,0.059020418033314835,Low,
124,2668,0,3,8,10,4,0.86,78,1,0,1,60,0,5,1993.55,2024-11-24,0,0,0,0,0,0.08257541722604651,Low,
171,2779,1,9,17,0,12,0.0,210,2,2,2,330,1,5,412.04,2024-11-20,491,0,0,0,0,0.06220857997779434,Low,
152,2890,1,9,11,0,17,0.0,34,2,0,1,-330,1,2,940.73,2024-06-08,71,0,0,0,0,0.06664418208579653,Low,
273,3001,0,3,5,4,3,0.59,99,3,3,0,330,1,3,3225.7,2024-12-14,0,0,0,0,0,0.053856958825439304,Low,
423,3112,1,8,3,0,22,0.0,18,2,3,0,0,0,3,3402.24,2024-08-27,51,0,0,0,0,0.048479372227163316,Low,
417,3223,1,12,10,0,22,0.0,88,1,0,0,480,2,5,243.56,2025-03-08,216,0,0,0,0,0.06203643908449122,Low,
454,3335,0,8,9,5,7,1.91,36,1,2,0,0,0,5,613.97,2024-11-07,0,0,0,0,0,0.07017958741798395,Low,
78,3446,1,8,14,0,20,0.0,21,4,0,1,330,2,3,624.13,2024-12-09,56,0,0,0,0,0.06723559719528296,Low,
418,3557,0,1,7,7,4,1.9,33,1,3,2,60,1,1,516.73,2024-07-01,0,0,0,0,0,0.07011267452937221,Low,
98,3668,1,10,9,0,12,0.0,17,2,2,1,-330,0,0,802.14,2024-10-12,42,0,0,0,0,0.057098219414828566,Low,
405,3779,1,10,12,0,13,0.0,208,3,0,0,-330,1,4,941.69,2024-04-02,537,0,0,0,0,0.07652923908270695,Low,
191,3890,0,4,7,8,4,1.32,45,4,3,2,60,2,2,1129.37,2024-10-17,0,0,0,0,0,0.06277909825310778,Low,
100,4001,1,6,19,0,15,0.0,25,2,2,1,330,2,0,65.05,2025-01-19,50,0,0,0,0,0.07769777937403528,Low,
385,4112,1,7,10,0,23,0.0,53,3,3,2,330,0,3,398.83,2025-03-01,146,0,0,0,0,0.07329258471933864,Low,
84,4223,1,3,11,0,16,0.0,34,2,1,2,-330,1,1,1556.42,2025-02-16,73,0,0,0,0,0.07990983004071023,Low,
385,4334,1,6,8,0,17,0.0,122,4,3,1,330,1,0,1636.41,2024-09-04,332,0,0,0,0,0.03637290574563028,Low,
446,4446,0,5,3,7,3,1.83,319,1,1,0,-330,2,3,1402.83,2025-05-19,0,0,0,0,0,0.09014905812291668,Low,
294,4457,1,15,9,0,16,0.0,51,4,2,0,-330,2,5,345.55,2024-11-11,136,0,0,0,0,0.06476383315906158,Low,
450,4468,0,4,10,5,8,1.83,177,1,2,2,0,0,1,810.76,2024-10-18,0,0,0,0,0,0.06804386954801786,Low,
161,4479,0,5,5,8,6,0.92,75,4,1,0,-330,0,1,1116.87,2024-04-29,0,0,0,0,0,0.0955060807963626,Low,
245,4490,1,7,8,0,13,0.0,15,0,1,1,-330,0,4,285.18,2024-04-05,35,0,0,0,0,0.08144544437754533,Low,
36,4501,0,8,4,7,4,0.9,105,2,0,1,60,0,2,4635.72,2025-06-27,0,0,0,0,0,0.11841639157473852,Low,
428,4512,1,3,12,0,16,0.0,64,2,2,0,480,2,5,1177.18,2024-06-14,161,0,0,0,0,0.0501427833048413,Low,
231,4523,0,10,3,7,9,1.19,94,0,1,0,0,0,1,100.65,2024-11-26,0,0,0,0,0,0.07385529880984863,Low,
40,4534,1,6,8,0,12,0.0,198,1,1,0,330,1,4,2249.85,2025-05-25,495,0,0,0,0,0.08317225255223475,Low,
113,4545,0,4,5,6,7,1.46,52,2,2,2,330,2,2,9533.3,2024-10-30,0,0,0,0,0,0.37119988962967226,Medium,Some features are moderately unusual
255,4557,1,6,8,0,15,0.0,208,0,0,2,330,0,3,239.76,2024-12-12,518,0,0,0,0,0.07032867271612657,Low,
75,4568,1,11,13,0,14,0.0,125,2,2,1,0,0,0,45.58,2024-01-24,311,0,0,0,0,0.0611328995523861,Low,
194,4579,0,7,3,11,7,1.0,60,3,0,1,0,2,3,1190.04,2024-09-11,0,0,0,0,0,0.08363497824746025,Low,
320,4590,0,9,2,4,6,1.47,83,1,2,2,480,2,0,88.96,2024-12-23,0,0,0,0,0,0.07863063138563513,Low,
487,4601,1,7,9,0,22,0.0,35,3,2,1,60,1,3,133.58,2024-07-11,71,0,0,0,0,0.06544253223388637,Low,
241,4612,1,13,18,0,15,0.0,369,1,3,2,480,0,5,1151.85,2024-03-18,993,0,0,0,0,0.12748711938645763,Low,
35,4623,0,7,4,4,2,0.95,99,0,2,2,60,2,1,4718.76,2024-09-13,0,0,0,0,0,0.09197867491992699,Low,
